"species","birdID","date","longitude","latitude","dayOfYear","delta","h","The_turbidity_factor","C_t","I_h","D_h","G_h"
"Black-bellied plover","8","22-08-2017",-91.4143,29.3699,234,22.782362014657,1.26644364863147,0.786284707029997,1.03019141417258,921.839543642755,46.3111675598612,968.150711202616
"Black-bellied plover","8","11-09-2017",-91.3652,29.3332,254,10.4349181083121,1.52207035664574,0.791550141531637,1.02659521173804,974.103377188194,47.6571750179617,1021.76055220616
"Black-bellied plover","8","13-09-2017",-91.3965,29.3587,256,-23.4078662190443,-0.930287434812662,0.805982032502791,0.96967137115613,-1007.38429355066,1674.55879399549,667.17450044483
"Black-bellied plover","8","18-09-2017",-91.4007,29.3716,261,-3.68174247563913,-0.0666196129463045,0.797570039435241,1.00613362718615,-514.722803649443,7.10448626288964,-507.618317386553
"Black-bellied plover","8","19-11-2017",-91.2677,29.4237,323,23.4404104139328,1.2709006056825,0.786004089375722,1.02885084706848,921.765014070021,46.3257154025332,968.090729472555
"Black-bellied plover","8","29-11-2017",-91.4434,29.3716,333,-20.9724933706627,1.49218541356884,0.804943493974696,0.985578841891615,948.961988892401,48.4196835300809,997.381672422482
"Black-bellied plover","8","01-12-2017",-91.4186,29.3611,335,17.8480672883317,0.517458424104001,0.788388883885573,1.03399867715375,423.852315600117,32.8644546228881,456.716770223005
"Black-bellied plover","8","03-12-2017",-91.4813,29.346,337,7.03219914699957,-1.24814404892302,0.793001194393604,0.986124274219745,-1162.77235773842,710.826854430488,-451.945503307935
"Black-bellied plover","8","06-12-2017",-91.4248,29.3658,340,-10.9980896645233,-1.09398149465086,0.800690016914509,1.0093565388335,-1136.21931030517,945.439289137195,-190.780021167978
"Black-crowned night heron","Parker","24-06-2016",-77.0727,38.9256,176,21.5976158536492,0.0492245516069805,0.786789929273497,0.98807385015089,3.72396884762952,12.7932246762475,16.517193523877
"Black-crowned night heron","Parker","14-09-2016",-80.12,32.933,258,7.84787615563251,1.52317894244404,0.792653357716148,0.998647114162341,948.962323514995,47.7248085971153,996.68713211211
"Black-crowned night heron","Parker","15-09-2016",-81.365,29.627,259,22.757958366744,0.984940000718529,0.786295113702881,1.02785638799093,787.5868580039,43.3132228885257,830.900080892426
"Black-crowned night heron","Parker","16-09-2016",-81.001,27.59,260,17.2782556078221,-0.68382989538638,0.788631873941227,1.03145462716697,-863.008882083481,23982.9583034878,23119.9494214043
"Black-crowned night heron","Parker","20-09-2016",-80.948,26.125,264,-0.608140801229778,-0.0296032457165351,0.796259335096473,0.9892083960552,-2575.31653133038,8.9101245564264,-2566.40640677396
"Black-crowned night heron","Parker","22-09-2016",-80.723,25.37,266,21.8181074706062,-1.16049645099094,0.786695902997609,1.03380838502875,-1174.77247289695,807.510316242491,-367.262156654457
"Black-crowned night heron","Parker","23-09-2016",-80.954,23.214,267,4.87758343633906,1.05765696891708,0.793920007063395,1.01523358667712,826.852976188016,44.7219982350508,871.574974423066
"Black-crowned night heron","Parker","24-09-2016",-81.307,22.493,268,-16.4329669349884,0.343941234883971,0.803007661805965,0.982653098987837,247.36802667746,27.1003953059662,274.468421983426
"Black-crowned night heron","Parker","26-09-2016",-81.259,22.432,270,-8.98308223562152,1.56995202651857,0.799830738693229,0.980629330931468,941.484179669523,48.182892990665,989.667072660188
"Black-crowned night heron","Parker","07-10-2016",-81.312,22.368,281,-20.0806910796366,0.0371902561743448,0.80456319449025,0.971972154546823,1.20467012343585,12.4539494496218,13.6586195730577
"Black-crowned night heron","Parker","07-10-2016",-81.312,22.368,281,-20.0806910796366,0.0371902561743448,0.80456319449025,0.971972154546823,1.20467012343585,12.4539494496218,13.6586195730577
"Black-crowned night heron","Parker","16-10-2016",-81.492,22.254,290,10.7729877901688,0.485437922266925,0.791405975356005,1.01760505001413,388.765242812136,31.9400833882661,420.705326200402
"Black-crowned night heron","Parker","16-11-2016",-81.487,22.252,321,-8.53678849193567,0.943658282832633,0.799640421531742,1.00435178192745,757.098268113441,43.4129546470651,800.511222760506
"Black-crowned night heron","Parker","11-05-2017",-77.005,38.922,131,16.5410934346078,-1.18103833653127,0.788946228812534,0.966642412229921,-1109.8387902178,781.003641042018,-328.835149175782
"Black-crowned night heron","Parker","22-05-2017",-77.043,38.883,142,-18.9014303693602,0.335033722050934,0.804060311458149,0.993274338483855,241.740788326959,26.7677217146394,268.508510041598
